strategy,side,split,gate,n,unique_dates,median_return_20d,mean_return_20d,hit_rate_20d,median_edge_20d,edge_hit_rate_20d
compression_break,long,test,ungated,14,14,-0.00229968832414285,-0.0028295590589279217,0.07142857142857142,0.0256328095326991,0.8571428571428571
compression_break,long,test,btc_macro_aligned,0,0,,,,,
compression_break,long,train,ungated,2,2,0.0259734246738485,0.0259734246738485,0.5,-0.03219260962743545,0.5
compression_break,long,train,btc_macro_aligned,2,2,0.0259734246738485,0.0259734246738485,0.5,-0.03219260962743545,0.5
compression_break,short,test,ungated,9,9,-0.0024601242335429,-0.002868199340083789,0.2222222222222222,-0.0704755792375972,0.1111111111111111
compression_break,short,test,btc_macro_aligned,4,4,-0.0030641270860426997,-0.00342524057817795,0.25,-0.02297094823493505,0.25
compression_break,short,train,ungated,21,19,-0.0022001000500249,0.02747277192936648,0.23809523809523808,-0.0521356323048023,0.23809523809523808
compression_break,short,train,btc_macro_aligned,0,0,,,,,
cross_7_30_regime,long,test,ungated,66,50,-0.011529399954109749,-0.053087689374170785,0.2727272727272727,0.06558126077940325,0.7575757575757576
cross_7_30_regime,long,test,btc_macro_aligned,31,18,-0.1095415241183994,-0.09519100007459409,0.1935483870967742,0.0781566824366738,0.7419354838709677
cross_7_30_regime,long,train,ungated,99,61,-0.0996058931860035,-0.08694127741165653,0.2727272727272727,0.0613931948133034,0.6868686868686869
cross_7_30_regime,long,train,btc_macro_aligned,99,61,-0.0996058931860035,-0.08694127741165653,0.2727272727272727,0.0613931948133034,0.6868686868686869
cross_7_30_regime,short,test,ungated,259,121,0.1344899410914749,0.10291095410131872,0.7258687258687259,0.0138795613103912,0.5752895752895753
cross_7_30_regime,short,test,btc_macro_aligned,171,81,0.0958219335116544,0.08683909694844774,0.6900584795321637,0.0070670014392799,0.543859649122807
cross_7_30_regime,short,train,ungated,348,113,0.048393832746773904,0.03807667913086345,0.6637931034482759,-0.004413202672103,0.46264367816091956
cross_7_30_regime,short,train,btc_macro_aligned,0,0,,,,,
fresh_stack,long,test,ungated,59,50,-0.0055747723210486,0.004494120383523085,0.2542372881355932,0.0729018969398505,0.7457627118644068
fresh_stack,long,test,btc_macro_aligned,29,20,-0.0274817047744805,0.045630525995167655,0.3103448275862069,0.1048752793765766,0.8275862068965517
fresh_stack,long,train,ungated,176,81,-0.07620052903639075,-0.08529265972239258,0.26704545454545453,0.051860942816782704,0.625
fresh_stack,long,train,btc_macro_aligned,176,81,-0.07620052903639075,-0.08529265972239258,0.26704545454545453,0.051860942816782704,0.625
fresh_stack,short,test,ungated,612,187,0.07610679407926266,0.06490200547807991,0.6437908496732027,-0.00040964662796500004,0.48856209150326796
fresh_stack,short,test,btc_macro_aligned,317,121,0.0090352838681574,0.029155509035491717,0.526813880126183,-0.0050256023943468,0.4637223974763407
fresh_stack,short,train,ungated,518,127,0.06536156054202046,0.04023098929726965,0.637065637065637,-0.00535660798964755,0.4594594594594595
fresh_stack,short,train,btc_macro_aligned,0,0,,,,,
pullback_recapture,long,test,ungated,98,74,-0.0205159375350318,-0.030203570765665967,0.22448979591836735,0.0609058063782876,0.7448979591836735
pullback_recapture,long,test,btc_macro_aligned,48,27,-0.07924393139205879,-0.014385697097444841,0.20833333333333334,0.08786264096633101,0.8541666666666666
pullback_recapture,long,train,ungated,294,95,-0.0762921731171914,-0.08960098291183365,0.22448979591836735,0.027207540116255598,0.5816326530612245
pullback_recapture,long,train,btc_macro_aligned,294,95,-0.0762921731171914,-0.08960098291183365,0.22448979591836735,0.027207540116255598,0.5816326530612245
pullback_recapture,short,test,ungated,668,158,0.0647927945636302,0.05977449606317797,0.6497005988023952,-0.00087483131137465,0.49101796407185627
pullback_recapture,short,test,btc_macro_aligned,384,104,0.0125626036484246,0.01876263018733834,0.546875,-0.00292584930638965,0.4713541666666667
pullback_recapture,short,train,ungated,568,94,0.05568926490571645,0.03231192034706371,0.602112676056338,-0.0051622656610222,0.4595070422535211
pullback_recapture,short,train,btc_macro_aligned,0,0,,,,,
