strategy,side,split,cost_bps,horizon,n,median_return,mean_return,hit_rate
compression_break,long,test,20,1,14,-0.0021000150225094476,-0.0022004200389287845,0.0
compression_break,long,test,20,3,14,-0.002099985058474361,-0.0015387922105701264,0.07142857142857142
compression_break,long,test,20,5,14,-0.002293378822520063,-0.0023277056263055593,0.07142857142857142
compression_break,long,test,20,10,14,-0.002509384649124367,-0.0034469424096438897,0.0
compression_break,long,test,20,20,14,-0.002399556495522868,-0.0040388227095182585,0.0
compression_break,long,test,20,30,14,-0.002474485326258045,-0.0055890525136559665,0.0
compression_break,long,test,30,1,14,-0.0031000150225094477,-0.003200420038928784,0.0
compression_break,long,test,30,3,14,-0.003099985058474361,-0.0025387922105701262,0.07142857142857142
compression_break,long,test,30,5,14,-0.003293378822520063,-0.0033277056263055593,0.07142857142857142
compression_break,long,test,30,10,14,-0.003509384649124367,-0.00444694240964389,0.0
compression_break,long,test,30,20,14,-0.003399556495522868,-0.005038822709518258,0.0
compression_break,long,test,30,30,14,-0.003474485326258045,-0.006589052513655966,0.0
compression_break,long,test,60,1,14,-0.006100015022509448,-0.0062004200389287846,0.0
compression_break,long,test,60,3,14,-0.006099985058474361,-0.005538792210570126,0.07142857142857142
compression_break,long,test,60,5,14,-0.006293378822520063,-0.00632770562630556,0.0
compression_break,long,test,60,10,14,-0.006509384649124367,-0.007446942409643891,0.0
compression_break,long,test,60,20,14,-0.006399556495522868,-0.00803882270951826,0.0
compression_break,long,test,60,30,14,-0.006474485326258045,-0.009589052513655966,0.0
compression_break,long,train,20,1,2,0.0049875505845746754,0.0049875505845746754,0.5
compression_break,long,train,20,3,2,0.015831635189650695,0.015831635189650695,0.5
compression_break,long,train,20,5,2,-0.004216055726469768,-0.004216055726469768,0.0
compression_break,long,train,20,10,2,0.033299704310612355,0.033299704310612355,0.5
compression_break,long,train,20,20,2,0.020565241371520493,0.020565241371520493,0.5
compression_break,long,train,20,30,2,0.0008932078558508989,0.0008932078558508989,0.5
compression_break,long,train,30,1,2,0.003987550584574676,0.003987550584574676,0.5
compression_break,long,train,30,3,2,0.014831635189650695,0.014831635189650695,0.5
compression_break,long,train,30,5,2,-0.005216055726469768,-0.005216055726469768,0.0
compression_break,long,train,30,10,2,0.032299704310612354,0.032299704310612354,0.5
compression_break,long,train,30,20,2,0.019565241371520492,0.019565241371520492,0.5
compression_break,long,train,30,30,2,-0.00010679214414910116,-0.00010679214414910116,0.5
compression_break,long,train,60,1,2,0.0009875505845746754,0.0009875505845746754,0.5
compression_break,long,train,60,3,2,0.011831635189650698,0.011831635189650698,0.5
compression_break,long,train,60,5,2,-0.008216055726469768,-0.008216055726469768,0.0
compression_break,long,train,60,10,2,0.029299704310612355,0.029299704310612355,0.5
compression_break,long,train,60,20,2,0.016565241371520496,0.016565241371520496,0.5
compression_break,long,train,60,30,2,-0.0031067921441491012,-0.0031067921441491012,0.5
compression_break,short,test,20,1,9,-0.0022599878672329137,-0.002505805302414064,0.0
compression_break,short,test,20,3,9,-0.0024010829238945135,-0.002810818012045411,0.0
compression_break,short,test,20,5,9,-0.002300812192920885,-0.004112488218571512,0.1111111111111111
compression_break,short,test,20,10,9,-0.00230084235860417,-0.0030462869366452874,0.2222222222222222
compression_break,short,test,20,20,9,-0.0023701369506716734,-0.0033783960312765535,0.1111111111111111
compression_break,short,test,20,30,9,-0.0026005404864377617,-0.005367415083531939,0.1111111111111111
compression_break,short,test,30,1,9,-0.0032599878672329137,-0.0035058053024140646,0.0
compression_break,short,test,30,3,9,-0.0034010829238945136,-0.0038108180120454116,0.0
compression_break,short,test,30,5,9,-0.003300812192920885,-0.005112488218571511,0.0
compression_break,short,test,30,10,9,-0.00330084235860417,-0.004046286936645287,0.1111111111111111
compression_break,short,test,30,20,9,-0.0033701369506716735,-0.004378396031276553,0.1111111111111111
compression_break,short,test,30,30,9,-0.0036005404864377618,-0.006367415083531937,0.1111111111111111
compression_break,short,test,60,1,9,-0.006259987867232914,-0.006505805302414064,0.0
compression_break,short,test,60,3,9,-0.006401082923894514,-0.006810818012045411,0.0
compression_break,short,test,60,5,9,-0.006300812192920885,-0.008112488218571511,0.0
compression_break,short,test,60,10,9,-0.00630084235860417,-0.007046286936645286,0.0
compression_break,short,test,60,20,9,-0.0063701369506716735,-0.007378396031276554,0.1111111111111111
compression_break,short,test,60,30,9,-0.006600540486437762,-0.009367415083531937,0.1111111111111111
compression_break,short,train,20,1,21,-0.0021001301692200585,-0.0023112989844291023,0.09523809523809523
compression_break,short,train,20,3,21,-0.002200120072043397,-0.0011096276766442887,0.19047619047619047
compression_break,short,train,20,5,21,-0.0021002405773857796,-0.00211180955029896,0.14285714285714285
compression_break,short,train,20,10,21,-0.002100020004000889,0.006677030347876975,0.19047619047619047
compression_break,short,train,20,20,21,-0.002,0.02619893083194065,0.23809523809523808
compression_break,short,train,20,30,21,-0.0021002405773857796,0.026816302676463104,0.23809523809523808
compression_break,short,train,30,1,21,-0.0031001301692200585,-0.003311298984429102,0.09523809523809523
compression_break,short,train,30,3,21,-0.003200120072043397,-0.0021096276766442885,0.14285714285714285
compression_break,short,train,30,5,21,-0.0031002405773857796,-0.0031118095502989597,0.14285714285714285
compression_break,short,train,30,10,21,-0.0031000200040008892,0.005677030347876975,0.19047619047619047
compression_break,short,train,30,20,21,-0.003,0.02519893083194065,0.23809523809523808
compression_break,short,train,30,30,21,-0.0031002405773857796,0.025816302676463104,0.23809523809523808
compression_break,short,train,60,1,21,-0.006100130169220059,-0.0063112989844291015,0.09523809523809523
compression_break,short,train,60,3,21,-0.006200120072043397,-0.0051096276766442895,0.047619047619047616
compression_break,short,train,60,5,21,-0.00610024057738578,-0.006111809550298961,0.047619047619047616
